Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Quận	Thành phố
Căn hộ chung cư tại Chung cư CT3 Lê Đức Thọ	128	5.12	3	2	2	21.030434	105.76928	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Tư Đình	65	7.9	1	1	2	21.028876	105.8840985	Long Biên	Hà Nội
Nhà riêng tại đường Lạc Long Quân	55	17.5	4	6	2	21.0494664	105.8068547	Tây Hồ	Hà Nội
Nhà riêng tại đường Lạc Long Quân	40	6.3	4	4	2	21.0556973	105.8088033	Tây Hồ	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Linh Đàm	80	2.8	2	2	-1	20.97145652771	105.828170776367	Hoàng Mai	Hà Nội
Nhà riêng tại đường Ngọc Thụy	35	4.5	4	4	2	21.0497426	105.8667669	Long Biên	Hà Nội
Căn hộ chung cư tại The Zei Mỹ Đình	184	9.0	4	3	1	21.0344581604004	105.769653320313	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Thống Nhất Complex	122	6.0	3	2	2	20.998046875	105.80354309082	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì	70	3.2	2	2	2	20.9989585876465	105.788032531738	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Kim Giang	35	3.45	4	3	2	20.9791213	105.8210801	Hoàng Mai	Hà Nội
Nhà riêng tại đường Xuân La	30	3.95	3	4	2	21.0644876	105.8061035	Tây Hồ	Hà Nội
Nhà riêng tại đường Huỳnh Cung	33	2.65	4	3	2	20.9524754	105.8268282	Thanh Trì	Hà Nội
Căn hộ chung cư tại Licogi 13 Tower	91	3.7	3	2	2	20.9988327026367	105.797798156738	Thanh Xuân	Hà Nội
Nhà riêng tại đường Bồ Đề	55	6.85	5	3	2	21.038073	105.8719363	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	90	13.3	4	4	2	20.958282470703125	105.76719665527344	Hà Đông	Hà Nội
Căn hộ chung cư tại Vinhomes Gardenia	75	3.9	2	2	2	21.0365676879883	105.760482788086	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường 422B	37	2.3	5	4	2	21.0545648080067	105.715560726527	Hoài Đức	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Xa La	86	2.1	2	2	2	20.9624671936035	105.792366027832	Hà Đông	Hà Nội
Nhà riêng tại phố Thái Hà	62	10.2	4	4	2	21.012597	105.8201087	Đống Đa	Hà Nội
Căn hộ chung cư tại Valencia Garden	61	1.77	2	1	2	21.0558452606201	105.911750793457	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Geleximco - Lê Trọng Tấn	100	11.5	4	5	2	20.9792404174805	105.74178314209	Hà Đông	Hà Nội
Căn hộ chung cư tại TSG Lotus Sài Đồng	114	5.5	3	2	-1	21.059801	105.89873	Long Biên	Hà Nội
Căn hộ chung cư tại Central Field Trung Kính	72	3.6	2	2	2	21.0209789276123	105.791061401367	Cầu Giấy	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	31	2.65	3	2	2	20.9681471	105.7549524	Hà Đông	Hà Nội
Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra	180	6.8	4	2	2	21.07213592529297	105.81099700927734	Tây Hồ	Hà Nội
Căn hộ chung cư tại Masteri West Heights	37	2.15	1	1	2	21.0062065124512	105.737075805664	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Bà Triệu	55	7.2	6	5	2	20.9718713	105.7788804	Hà Đông	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	42	5.88	4	4	2	20.9966146	105.8257016	Thanh Xuân	Hà Nội
Căn hộ chung cư tại BRG Diamond Residence	63	4.3	2	1	1	21.0052261352539	105.805061340332	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Berriver Long Biên	80	3.1	2	2	2	21.0443172454834	105.87786102294922	Long Biên	Hà Nội
Nhà riêng tại đường Phố Trạm	52	6.3	6	4	2	21.026428	105.8930876	Long Biên	Hà Nội
