Tên	Diện tích	Mặt tiền	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Nội thất	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Siêu phẩm! Nhà Tôn Đức Thắng, 2thoáng, ngõ nông, nội thất sịn, 39m2*5T	39	4	4.89	0000	3	4	Nội thất cao cấp	2	21.020054	105.82462	TÔN Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán nhà Thanh Xuân 50m2, Oto vào nhà, giá 6,5 tỷ	50	4	6.5	0100	3	0	Nhà trống	2	20.996315	105.8305	Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
CHỦ CẦN BÁN GẤP NHÀ RIÊNG TẠI PHÚ ĐÔ NAM TỪ LIÊM	31	7	5.2	0000	3	4		2	21.010788	105.764435	phú đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
CHÍNH CHỦ BÁN NHÀ HỒNG MAI - NHÀ ĐẸP Ở LUÔN - DT 43.5m2 - NHỈNH 4tỷ	43	4	4.0	0000	3	4		2	20.998787	105.85499	Phố Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà ở kinh doanh Láng Hạ 45m oto đỗ cửa ngõ thông sầm uất 5 tầng đẹp	45	0	7.5	0000	4	4	Nội thất đầy đủ	2	21.013857	105.813065	Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
ẢNH THẬT_NHÀ MỚI 5TẦNG TRẦN CUNG_40M2_NGÕ BA GÁC TRÁNH_GIÁ CHỈ 4,45 TỶ	40	4	4.45	0000	6	4	Nội thất đầy đủ	2	21.055117	105.78603	Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Mình chính chủ	36	3	3.9	1001	3	3		-1	20.983755	105.89119	Ngõ 95 Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
🔥🔥BÁN NHÀ PHỐ NGỌC THỤY - LONG BIÊN, LÔ GÓC THOÁNG HIẾM CÓ KHÓ TÌM,	50	0	4.7	0000	3	3		-1	21.046007	105.865326	Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Cần tiền bán gấp mảnh đất tại Biên giang 40m ô tô qua giá nhỉnh 1 tỷ	40	4	1.05	0000	0	0		2	20.934057	105.7164	Phượng Bãi, Phường Biên Giang, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Rao bán căn hộ ở tòa C2 Vinhomes D’.Capitale tổng diện tích: 38m2,	38	0	1.95	0000	1	1	Nội thất đầy đủ	2	21.010153	105.798836	Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
EM CẦN BÁN Căn STUDIO TIỆN ÍCH 5 SAO GIÁ RẺ CHỈ 930TR TẠI VINHOMES OCP	31	0	0.93	0000	1	1	Bàn giao thô	2	21.02097	105.93817	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà Phố Bạch Mai, khu Víp,A Ninh tuyệt đối,ô tô đỗ cửa32m4T,MT4;3,2tỷ.	30	4	3.2	0000	3	3	Nội thất đầy đủ	2	21.000607	105.85373	Phố Bùi Ngọc Dương, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Thật 200%! P. Xuân La, Dòng tiền Thang Máy Ô tô 6 Tầng, 75m2,Chỉ 18 Tỷ	73	5	18.0	0000	7	5	Nội thất đầy đủ	2	21.067415	105.80934	Ngõ 603 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
BÁN ĐẤT ĐẠI TỪ 40m2 mt 4m 3.4 tỷ oto đỗ cổng ngõ rộng 3m cách phố 18m	40	4	3.4	0000	0	0		2	20.973969	105.82169	Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
88 m2 tai thuy huong	88	4880	1.5	1100	0	0		2	20.907265	105.71458	Máng 7, Xã Thụy Hương, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Bán nhà phố Trần Duy Hưng Cầu Giấy 60m2, 5 tầng ngõ thông chỉ với 7tỷ	60	4	7.8	0000	5	5		2	21.010153	105.798836	Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
BÁN 1.750m VIEW HỒ TAY CHẠM NƯỚC CẠNH SÂN GOLF MINH TRÍ SÓC SƠN HÀ NÔI	1750	45	13.65	0000	0	0		2	21.27536	105.7762	Sân Golf Minh Trí, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Tôi cần Bán 257m2  đất tại thôn Phượng Đồng, Phụng Châu, Chương Mỹ	257	0	4.63	0000	0	0		-1	20.948948	105.70284	phượng đồng, Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
CHỈ 3,15 TỶ CÓ NHÀ ĐỨC GIANG  - XÂY MỚI – Ô TÔ ĐỖ CỔNG - THOÁNG MÁT	34	0	3.15	0000	3	0		-1	21.067816	105.89025	Phố Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Bán nhà Chợ Khâm Thiên25m vuông A4 3PN ngõ sáng thông hồ Ba Mẫu 2.6tỷ	25	0	2.6	0000	3	3	Nội thất cao cấp	2	21.015108	105.83857	Phố Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán nhà 45m2 5 tầng - 4PN Việt Hưng giá rẻ chỉ 5 tỷ tươi	45	0	5.25	0110	4	4	Nội thất đầy đủ	2	21.054153	105.90296	Phố Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
ĐỨC DIỄN  - DÒNG TIỀN KHỦNG, 22  PHÒNG KK ,FULL NỘI THẤT, DT 120TR	76	0	12.9	0010	0	0	Nội thất cao cấp	2	21.050165	105.75243	Đường Đức Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Bán bán căn 2PN 2WC ngay Mỹ Đình 3 tỷ có hỗ trợ vay ngân hàng	67	0	3.0	0000	2	2	Nhà trống	0	21.027958	105.7718	trần hữu dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
TT CẦU GIẤY_70m2x5 tầng- GARA OTO- VỊ TRÍ ĐẸP THOÁNG SÁNG- NHỈNH 10 TỶ	70	0	10.0	0000	5	0	Nội thất cao cấp	2	21.03677	105.80115	Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Chưa đến 4 tỷ nhà 4 tầng mới 4 phòng ngủ đủ nội thất,P.Bạch Mai,Hai Bà	32	0	3.75	0000	4	4	Nội thất đầy đủ	2	21.003204	105.85089	Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán nhà ngõ phố Minh Khai ô tô đỗ cửa, 2 thoáng, gần phố 72m 4T 7.28tỷ	72	4	7.28	0000	5	5	Nội thất cao cấp	2	20.998924	105.87	Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
