Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon
Căn hộ chung cư tại Chung cư CT3 Lê Đức Thọ	1.4550148706853707	5.12	3	2	2	21.030434	105.76928
Nhà riêng tại đường Tư Đình	-0.09957412959922915	7.9	1	1	2	21.028876	105.8840985
Nhà riêng tại đường Lạc Long Quân	-0.3463342883745624	17.5	4	6	2	21.0494664	105.8068547
Nhà riêng tại đường Lạc Long Quân	-0.7164745265375624	6.3	4	4	2	21.0556973	105.8088033
Căn hộ chung cư tại Khu đô thị mới Linh Đàm	0.2705661085637708	2.8	2	2	-1	20.97145652771	105.828170776367
Nhà riêng tại đường Ngọc Thụy	-0.8398546059252291	4.5	4	4	2	21.0497426	105.8667669
Căn hộ chung cư tại The Zei Mỹ Đình	2.836871759827237	9.0	4	3	1	21.0344581604004	105.769653320313
Căn hộ chung cư tại Thống Nhất Complex	1.3069587754201706	6.0	3	2	2	20.998046875	105.80354309082
Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì	0.023805949788437503	3.2	2	2	2	20.9989585876465	105.788032531738
Nhà riêng tại đường Kim Giang	-0.8398546059252291	3.45	4	3	2	20.9791213	105.8210801
Nhà riêng tại đường Xuân La	-0.9632346853128957	3.95	3	4	2	21.0644876	105.8061035
Nhà riêng tại đường Huỳnh Cung	-0.8892066376802957	2.65	4	3	2	20.9524754	105.8268282
Căn hộ chung cư tại Licogi 13 Tower	0.5420022832166375	3.7	3	2	2	20.9988327026367	105.797798156738
Nhà riêng tại đường Bồ Đề	-0.3463342883745624	6.85	5	3	2	21.038073	105.8719363
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	0.5173262673391041	13.3	4	4	2	20.958282470703125	105.76719665527344
Căn hộ chung cư tại Vinhomes Gardenia	0.14718602917610416	3.9	2	2	2	21.0365676879883	105.760482788086
Nhà riêng tại đường 422B	-0.7905025741701623	2.3	5	4	2	21.0545648080067	105.715560726527
Căn hộ chung cư tại Khu đô thị mới Xa La	0.4186222038289708	2.1	2	2	2	20.9624671936035	105.792366027832
Nhà riêng tại phố Thái Hà	-0.17360217723182914	10.2	4	4	2	21.012597	105.8201087
Căn hộ chung cư tại Valencia Garden	-0.19827819310936246	1.77	2	1	2	21.0558452606201	105.911750793457
Nhà riêng tại đường Hồ Tùng Mậu	-0.2229542089868958	15.0	16	17	2	21.0379862	105.7737345
Nhà biệt thự, liền kề tại Khu đô thị Geleximco - Lê Trọng Tấn	0.7640864261144374	11.5	4	5	2	20.9792404174805	105.74178314209
Căn hộ chung cư tại TSG Lotus Sài Đồng	1.109550648399904	5.5	3	2	-1	21.059801	105.89873
Căn hộ chung cư tại Central Field Trung Kính	0.07315798154350417	3.6	2	2	2	21.0209789276123	105.791061401367
Nhà riêng tại đường Bùi Xương Trạch	-0.09957412959922915	11.0	18	18	2	20.9872801	105.8185879
Nhà riêng tại đường Lê Trọng Tấn	-0.9385586694353624	2.65	3	2	2	20.9681471	105.7549524
Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra	2.7381676963171038	6.8	4	2	2	21.07213592529297	105.81099700927734
Căn hộ chung cư tại Masteri West Heights	-0.7905025741701623	2.15	1	1	2	21.0062065124512	105.737075805664
Nhà riêng tại phố Bà Triệu	-0.3463342883745624	7.2	6	5	2	20.9718713	105.7788804
Nhà riêng tại đường Hoàng Văn Thái	-0.6671224947824957	5.88	4	4	2	20.9966146	105.8257016
Căn hộ chung cư tại BRG Diamond Residence	-0.14892616135429582	4.3	2	1	1	21.0052261352539	105.805061340332
Căn hộ chung cư tại Berriver Long Biên	0.2705661085637708	3.1	2	2	2	21.0443172454834	105.87786102294922
Nhà riêng tại đường Phố Trạm	-0.42036233600716244	6.3	6	4	2	21.026428	105.8930876
Nhà riêng tại phố Kim Mã	-0.5930944471498958	12.3	3	5	2	21.031921	105.82514
Căn hộ chung cư tại Vinhomes D'Capitale	0.5913543149717041	5.7	3	2	2	21.00580596923828	105.79437255859376
Căn hộ chung cư tại Times Tower Lê Văn Lương	1.4550148706853707	6.5	3	2	2	21.00263404846192	105.8015594482422
Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ	1.331634791297704	5.0	3	2	2	20.993579864502	105.798210144043
Nhà mặt phố tại phố Lò Đúc	-0.7164745265375624	12.0	2	2	-1	21.018134	105.855273
Nhà riêng tại phố Quan Nhân	-0.8892066376802957	3.18	3	3	2	21.0034688	105.8110286
Nhà riêng tại đường Phú Diễn	-0.7164745265375624	4.7	3	3	-1	21.0429329	105.7613971
Căn hộ chung cư tại The Park Home	1.6030709659505706	7.0	4	3	2	21.0295677185059	105.791877746582
Căn hộ chung cư tại Vinhomes D'Capitale	0.3199181403188375	5.8	3	2	2	21.00580596923828	105.79437255859376
Nhà riêng tại phố Gia Quất	-0.8151785900476957	2.95	4	4	-1	21.0528078	105.8760812
Nhà biệt thự, liền kề tại The Terra An Hưng	-0.09957412959922915	20.5	4	5	-1	20.974346160888672	105.75416564941406
Căn hộ chung cư tại Nhà ở xã hội @Home	0.023805949788437503	2.49	2	2	-1	20.9799327850342	105.864631652832
Căn hộ chung cư tại Khu đô thị mới Văn Phú	0.2705661085637708	2.5	2	2	2	20.958282470703125	105.76719665527344
Nhà riêng tại đường Trần Duy Hưng	-0.5930944471498958	4.8	5	4	2	21.0107492	105.799529
Nhà mặt phố tại đường Lê Trọng Tấn	0.5420022832166375	20.8	6	6	2	21.0002924	105.8280106
Nhà mặt phố tại Him Lam Vạn Phúc	0.5420022832166375	20.5	6	7	2	20.981199264526367	105.76778411865234
Căn hộ chung cư tại Nhà ở xã hội @Home	-0.3463342883745624	1.95	2	2	-1	20.9799327850342	105.864631652832
Nhà mặt phố tại đường Việt Hùng	0.2705661085637708	12.0	32	32	2	21.1270144779464	105.76870434746
Nhà riêng tại đường Bắc Cầu 3	-0.9632346853128957	2.05	4	4	2	21.0616843	105.8619652
Nhà riêng tại đường Triều Khúc	0.5173262673391041	18.0	6	11	2	20.9801219	105.802612
Nhà riêng tại phố Tạ Quang Bửu	1.0848746325223706	19.8	8	9	2	21.0061863	105.8469898
Nhà riêng tại đường Đặng Văn Ngữ	-0.44503835188469576	5.8	5	3	2	21.010018	105.831154
Nhà riêng tại phố Láng Hạ	-0.4943903836397624	12.0	4	6	2	21.0153717	105.8128851
Căn hộ chung cư tại Sky Central	0.39394618795143743	4.1	3	2	2	20.9827823638916	105.83438110351562
Căn hộ chung cư tại Goldmark City	1.6030709659505706	5.5	3	2	2	21.044233322143555	105.76731872558594
Căn hộ chung cư tại Mon City	-0.3463342883745624	3.1	2	1	2	21.035120010375977	105.7674331665039
Nhà riêng tại đường Nguyễn Văn Cừ	1.3809868230527707	12.5	4	5	2	21.0438304	105.8723803
Căn hộ chung cư tại Home City Trung Kính	0.7147343943593707	5.2	3	2	2	21.016098022460938	105.79248809814452
Căn hộ chung cư tại C37 Bộ Công An - Bắc Hà Tower	0.3692701720739041	3.2	2	2	2	20.996829986572266	105.79383850097656
Nhà biệt thự, liền kề tại đường Tư Đình	0.7640864261144374	16.5	4	4	2	21.028876	105.8840985
Nhà riêng tại đường Nguyễn Xiển	-0.42036233600716244	13.8	4	4	2	20.9871687	105.8065858
Căn hộ chung cư tại Tây Hồ Residence	0.6407063467267707	5.4	3	2	1	21.0555438995361	105.805130004883
Nhà mặt phố tại đường Yên Phúc	-0.3463342883745624	7.35	4	3	2	20.9703841	105.7868365
Nhà riêng tại đường Sáp Mai	0.2705661085637708	3.5	3	3	-1	21.1045041	105.7741216
Căn hộ chung cư tại Bình Minh Garden	0.12251001329857082	2.79	2	2	2	21.0690975189209	105.8880386352539
Nhà riêng tại đường Trịnh Công Sơn	0.023805949788437503	18.0	5	6	2	21.0777116	105.817596
Nhà riêng tại phường Ngọc Thụy	-0.3463342883745624	5.19	4	4	2	21.0590369255725	105.868185428359
Nhà riêng tại đường Thạch Bàn	-0.5930944471498958	6.3	3	4	2	21.0250451	105.9078847
Căn hộ chung cư tại Bình Minh Garden	0.12251001329857082	3.0	2	2	2	21.0690975189209	105.888038635254
Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra	-0.5190663995172957	2.2	1	1	2	21.07213592529297	105.81099700927734
Căn hộ chung cư tại Vinhomes Smart City	-0.3463342883745624	2.5	2	1	2	21.008852005004883	105.7439193725586
Nhà riêng tại đường Đại Mỗ	-0.5930944471498958	5.45	4	4	2	20.9898009	105.7615252
Nhà riêng tại đường Phan Kế Bính	0.14718602917610416	18.48	5	5	2	21.0349216	105.8102447
Nhà riêng tại phố Nguyễn Ngọc Vũ	-0.3463342883745624	10.3	4	3	2	21.0118082	105.8083617
Căn hộ chung cư tại đường Nguyễn Khang	-0.5930944471498958	6.2	6	4	2	21.0276141	105.7986536
Nhà riêng tại đường Cầu Bươu	-0.9632346853128957	3.75	3	4	2	20.9591532	105.8040058
Nhà riêng tại đường Đào Tấn	-0.8398546059252291	5.4	3	3	2	21.0325448	105.8089097
Căn hộ chung cư tại đường Xuân Đỉnh	-0.913882653557829	0.75	1	1	2	21.0713761	105.7943322
Nhà riêng tại phố Nghĩa Đô	-0.5684184312723625	12.0	4	4	2	21.0483269	105.7956063
Nhà riêng tại đường Ngãi Cầu	-0.9632346853128957	2.0	3	2	2	20.9894633	105.7189807
Căn hộ chung cư tại Green Park Trần Thủ Độ	0.4186222038289708	3.3	3	2	0	20.9587688446045	105.846313476563
Căn hộ chung cư tại đường Trường Chinh	-0.27230624074196247	0.85	2	1	-1	21.0000096	105.8308563
Căn hộ chung cư tại South Tower	-0.09957412959922915	2.45	2	2	2	20.962495803833008	105.84484100341795
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.14892616135429582	2.3	2	2	2	21.00241470336914	105.964111328125
Nhà riêng tại xã La Phù	-0.8645306218027624	2.65	3	4	2	20.9774186214318	105.734460372663
Căn hộ chung cư tại Hateco Apollo	-0.27230624074196247	2.3	2	1	2	21.035062789916992	105.74966430664062
Căn hộ chung cư tại Golden Land	1.4550148706853707	4.8	3	2	2	20.9934864044189	105.806907653809
Căn hộ chung cư tại Mulberry Lane	2.0965912835012372	6.0	3	2	2	20.98651885986328	105.7863998413086
Căn hộ chung cư tại Goldmark City	0.8627904896245707	3.8	3	2	-1	21.044233322143555	105.76731872558594
Nhà biệt thự, liền kề tại Khu chức năng đô thị Ao Sào	-0.07489811372169582	10.8	5	5	2	20.975595474243164	105.85230255126952
Căn hộ chung cư tại Sunshine Riverside	0.29524212444130415	3.9	2	2	2	21.078651428222656	105.8026123046875
