Tên	Diện tích	Mặt tiền	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Nội thất	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Cần bán nhà phố Hoàng Quốc Việt, Cầu Giấy	80 m2	---	36 tỷ	_	4			---				Cầu Giấy	Hà Nội
BÁN NHÀ HÀNG KHAY VÀI BƯỚC CHÂN RA HỒ GƯƠM GIÁ BÁN 16 TỶ	62 m2	12,8m	16 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàn Kiếm	Hà Nội
Bán Biệt thự KĐTM Phú Lương 228m2 x 4T x MT 12m giá 25tỷ	228 m2	12m	25 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
BÁN LÔ 89M2 ĐẤT HOA HẬU 2 MẶT THOÁNG KINH DOANH ĐƯỜNG RỘNG 17M - CÁCH CẦU ĐÔNG TRÙ 500M	89 m2	5m	6,792 tỷ	_	---			Sổ hồng/ Sổ đỏ				Đông Anh	Hà Nội
💥Bán nhà Tôn Đức Thắng Dt 99m²x5T Gara Thông Oto gần Phố Ở Kd Vp Đ.tư Nhỉnh 20 tỷ	99 m2	8m	20 tỷ	_	4			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
BÁN LÔ ĐẤT 197 m HAI MẶT TIỀN 12 x 16m TẠI NGÕ 42 THỊNH LIỆT - HOÀNG MAI.	197 m2	12m	15 tỷ	_	---			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
Ba bước ra Hồ Tây, bán đất tặng nhà đường Lạc Long Quân 56m, 6,2 tỷ	56 m2	5m	6,2 tỷ	_	2			Giấy tờ hợp lệ				Tây Hồ	Hà Nội
BÁN NHÀ HOÀNG NHƯ TIẾP  54M  3,5Tỷ THOÁNG SÁNG.	54 m2	---	3,5 tỷ	_	3			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
Ảnh Thật Phố Thuỵ Khuê.Võng Thị.Tây Hồ.DT 35M-5 Tầng Mới Tinh.giá 4.62 Tỷ	35 m2	4m	4,62 tỷ	_	3			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
💥 QUANH 3TỶ/77M_LÔ GÓC_VÂN NỘI _ĐÔNG ANH_Ô TÔ VÒNG QUANH_VIEW ĐƯỜNG VÕ NGUYÊN GIÁP.	77 m2	4m	3,1 tỷ	Đông	---			Sổ hồng/ Sổ đỏ				Đông Anh	Hà Nội
