Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Đất nền dự án tại Khu đô thị mới Tân Tây Đô	54 m²	Thỏa thuận	Tây - Nam			Sổ đỏ/ Sổ hồng	21.074520111083984	105.70022583007812	Dự án Tân Tây Đô, Đường Quốc lộ 32, Xã Tân Lập, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Căn hộ chung cư tại Hinode City	77 m²	Thỏa thuận	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.9959945678711	105.861267089844	Hinode City, Số 201, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại The Pavilion - Vinhomes Ocean Park	70 m²	2,8 tỷ	Đông - Nam	2 phòng	2 phòng	Có sổ đỏ	21.00826644897461	105.95277404785156	Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà mặt phố tại đường Vương Thừa Vũ	110 m²	48,5 tỷ		6 phòng	7 phòng	Sổ đỏ/ Sổ hồng	20.9978209	105.8219007	Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Vinhomes Smart City	78,3 m²	3,99 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.008852005004883	105.7439193725586	Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại The Sakura - Vinhomes Smart City	59 m²	2,18 tỷ		2 phòng	1 phòng	Sổ đỏ/ Sổ hồng	21.0052261352539	105.738914489746	Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại đường Kim Quan Thượng	331 m²	197 triệu/m²	Đông - Nam			Đã có sổ.	21.0585088	105.9018051	Đường Kim Quan Thượng, Phường Việt Hưng, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Thạch Bàn	50 m²	9,9 tỷ				Hợp đồng mua bán	21.0250451	105.9078847	Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Phúc Lợi	73 m²	12,8 tỷ	Tây - Nam			Sổ đỏ/ Sổ hồng	21.0387726	105.9346688	Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội	Long Biên	Hà Nội
Kho, nhà xưởng tại phường Xuân Phương	3.000 m²	Thỏa thuận				Sổ đỏ/ Sổ hồng	21.029397378023	105.745012068906	Phường Xuân Phương, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	50 m²	5,8 tỷ		5 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.9969854	105.8245436	Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	76 m²	14,75 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0462988	105.7992852	Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Trường Chinh	155 m²	45 tỷ	Nam			Sổ đỏ/ Sổ hồng	21.0007661	105.8288422	Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Giáp Nhị	33 m²	Thỏa thuận					20.9779547	105.8426875	Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
