Tên	Diện tích	Mặt tiền	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Nội thất	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Siêu phẩm! Nhà Tôn Đức Thắng, 2thoáng, ngõ nông, nội thất sịn, 39m2*5T	39 m²	4 m	4,89 tỷ		3 phòng	4 phòng	Nội thất cao cấp	Đã có sổ	21.020054	105.82462	TÔN Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán nhà Thanh Xuân 50m2, Oto vào nhà, giá 6,5 tỷ	50 m²	4 m	6,5 tỷ	Đông	3 phòng		Nhà trống	Đã có sổ	20.996315	105.8305	Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
CHỦ CẦN BÁN GẤP NHÀ RIÊNG TẠI PHÚ ĐÔ NAM TỪ LIÊM	31 m²	7.6 m	5,2 tỷ		3 phòng	4 phòng		Đã có sổ	21.010788	105.764435	phú đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
CHÍNH CHỦ BÁN NHÀ HỒNG MAI - NHÀ ĐẸP Ở LUÔN - DT 43.5m2 - NHỈNH 4tỷ	43 m²	4.5 m	4 tỷ		3 phòng	4 phòng		Đã có sổ	20.998787	105.85499	Phố Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà ở kinh doanh Láng Hạ 45m oto đỗ cửa ngõ thông sầm uất 5 tầng đẹp	45 m²		7,5 tỷ		4 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.013857	105.813065	Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
ẢNH THẬT_NHÀ MỚI 5TẦNG TRẦN CUNG_40M2_NGÕ BA GÁC TRÁNH_GIÁ CHỈ 4,45 TỶ	40 m²	4 m	4,45 tỷ		6 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.055117	105.78603	Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Mình chính chủ	36 m²	3.5 m	3,9 tỷ	Tây Bắc	3 phòng	3 phòng			20.983755	105.89119	Ngõ 95 Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
🔥🔥BÁN NHÀ PHỐ NGỌC THỤY - LONG BIÊN, LÔ GÓC THOÁNG HIẾM CÓ KHÓ TÌM,	50 m²		4,7 tỷ		3 phòng	3 phòng			21.046007	105.865326	Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Cần tiền bán gấp mảnh đất tại Biên giang 40m ô tô qua giá nhỉnh 1 tỷ	40 m²	4.1 m	1,05 tỷ					Đã có sổ	20.934057	105.7164	Phượng Bãi, Phường Biên Giang, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Rao bán căn hộ ở tòa C2 Vinhomes D’.Capitale tổng diện tích: 38m2,	38 m²		1,95 tỷ		1 phòng	1 phòng	Nội thất đầy đủ	Đã có sổ	21.010153	105.798836	Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
EM CẦN BÁN Căn STUDIO TIỆN ÍCH 5 SAO GIÁ RẺ CHỈ 930TR TẠI VINHOMES OCP	31 m²		930 triệu		1 phòng	1 phòng	Bàn giao thô	Đã có sổ	21.02097	105.93817	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà Phố Bạch Mai, khu Víp,A Ninh tuyệt đối,ô tô đỗ cửa32m4T,MT4;3,2tỷ.	30 m²	4 m	3,2 tỷ		3 phòng	3 phòng	Nội thất đầy đủ	Đã có sổ	21.000607	105.85373	Phố Bùi Ngọc Dương, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
